ROI	N51211	N51221	N51231	N51383	N51386	N51404	N51406	N51193	N51136	N51201	N51234	N51241	N51252	N51282	N51390	N51392	N51393	N51133	N51388	N51124	N51130	N51131	N51164	N51182	N51151	N51622	N51620	N51617
134	0.39397599	0.40246112	0.40395849	0.39148037	0.40146287	0.39929999	0.39114762	0.41893224	0.41660299	0.38881837	0.39281137	0.39530699	0.44937887	0.40412487	0.41310912	0.42292524	0.41810037	0.43673437	0.41593749	0.42442262	0.40279387	0.39447512	0.38183062	0.36519312	0.37517562	0.38116512	0.35837174	0.37084987
135	1.5291526	1.44679698	1.48822435	1.45694585	1.4080316	1.5770686	1.4246691	1.49088635	1.4799056	1.45761135	1.24598235	1.2676111	1.44696335	1.45644673	1.52133298	1.57008085	1.51467798	1.4679266	1.67389885	1.65043997	1.49937148	1.3900631	1.4586096	1.41768135	1.42516823	1.60485322	1.60385497	1.52948535
136	0.50345074	0.45453649	0.46335437	0.50594637	0.40911612	0.51010574	0.48331937	0.47383599	0.49496562	0.46718099	0.38532449	0.45104262	0.46951024	0.45719849	0.46302162	0.49945774	0.48331937	0.51825812	0.49596387	0.49213724	0.47982549	0.44555224	0.51293412	0.48548224	0.48914249	0.49945774	0.58813562	0.56168199
137	0.12162012	0.12095462	0.1217865	0.121121	0.12494762	0.12528037	0.113135	0.12428212	0.12278475	0.10964112	0.11280225	0.12860787	0.11263587	0.12062187	0.1311035	0.12278475	0.13126987	0.11546425	0.1257795	0.11130487	0.12627862	0.1177935	0.125114	0.12028912	0.11263587	0.12810875	0.12062187	0.13359912
138	0.06072687	0.07553425	0.078529	0.06139237	0.06538537	0.06621725	0.06804737	0.06471987	0.06638362	0.06338887	0.05640112	0.05906312	0.06655	0.0752015	0.06754825	0.0725395	0.061226	0.06338887	0.08302112	0.05889675	0.0605605	0.05972862	0.06438712	0.06804737	0.05939587	0.07154125	0.06771462	0.0818565
139	0.0645535	0.07021025	0.06471987	0.065219	0.06355525	0.08352025	0.06305612	0.05773212	0.06571812	0.0525745	0.05773212	0.05357275	0.06205787	0.0578985	0.05240812	0.049247	0.0552365	0.06205787	0.06272337	0.06937837	0.05889675	0.07503512	0.06155875	0.065219	0.07037662	0.06871287	0.05756575	0.07037662
140	1.43415248	1.53797047	1.58655197	1.60019472	1.4712541	1.5810616	1.5770686	1.59520347	1.55227872	1.2602906	1.46709473	1.4985396	1.60202485	1.67672722	1.5331456	1.53996697	1.56558872	1.60984447	1.53747135	1.57540485	1.46776023	1.46426635	1.6203261	1.58538735	1.5990301	1.6123401	1.55959922	1.5371386
141	0.55036849	0.64087649	0.58231249	0.66533361	0.52707599	0.62124424	0.63472061	0.51576249	0.57515837	0.53506199	0.54521087	0.57299549	0.63006211	0.70609549	0.59479062	0.68263661	0.66633186	0.68979074	0.72256661	0.69411649	0.66699736	0.33424737	0.65202361	0.54421262	0.62207611	0.62274161	0.75517611	0.57831949
142	0.20331025	0.18983387	0.18267975	0.21129625	0.216953	0.21994775	0.21928225	0.1816815	0.19083212	0.19948362	0.19815262	0.21329275	0.19715437	0.20247837	0.20264475	0.20148012	0.2003155	0.18134875	0.19116487	0.170368	0.20547312	0.211629	0.20114737	0.2043085	0.20314387	0.21146262	0.21112987	0.21845037
143	0.48964162	0.51409874	0.50444899	0.47633162	0.51193587	0.51359962	0.50394987	0.49995687	0.50744374	0.49430012	0.52474674	0.48930887	0.51027212	0.52291662	0.51243499	0.51193587	0.50877474	0.51792537	0.53739124	0.48747874	0.48880974	0.49430012	0.46718099	0.46451899	0.48348574	0.48581499	0.46601637	0.48814424
