ROI	N51211	N51221	N51231	N51383	N51386	N51404	N51406	N51193	N51136	N51201	N51234	N51241	N51252	N51282	N51390	N51392	N51393	N51133	N51388	N51124	N51130	N51131	N51164	N51182	N51151	N51622	N51620	N51617
1030	0.07303862	0.08501762	0.08734687	0.09300362	0.08634862	0.0618915	0.08501762	0.087846	0.08335387	0.08435212	0.09333637	0.08485125	0.0845185	0.08867787	0.08950975	0.087846	0.087846	0.09350275	0.0911735	0.09549925	0.0991595	0.09084075	0.091839	0.08867787	0.08285475	0.09267087	0.07986	0.085184
1031	0.32426487	0.28649775	0.31461512	0.28849425	0.31677799	0.20247837	0.28466762	0.34156787	0.29781125	0.30712825	0.30879199	0.31295137	0.29132262	0.33241724	0.28782875	0.31577974	0.33391462	0.32193562	0.31860812	0.28799512	0.29331912	0.28716325	0.288827	0.33840674	0.29847675	0.29365187	0.31910724	0.304799
1032	2.29414484	2.22826034	2.20962634	2.17734959	2.14407459	2.19232334	2.26586109	2.41143921	2.51542358	2.30629021	2.57215746	2.14207809	2.25571221	2.52723621	2.36069484	2.48298046	2.47416258	2.37317296	2.42225359	2.40528334	2.35087871	2.35370709	2.26719209	2.03293609	2.29813784	2.19914471	2.21977521	2.11262972
1033	2.63122058	3.02669395	2.99757833	2.83769195	2.77130833	2.97694783	3.01221933	3.1261862	3.19223707	3.06978508	3.36127407	3.1874122	3.12452245	3.12635257	3.3604422	3.09174657	3.37358582	3.2466417	3.23898845	3.29422495	3.39804294	3.00805995	2.85249933	2.71157971	2.9664662	2.79493358	2.66815583	2.71490721
1034	1.32534323	1.27509798	1.26178798	1.32800523	1.2942311	1.3461401	1.23949373	1.48373223	1.3840736	1.44746248	1.45378473	1.5078566	1.44363585	1.4233381	1.57124547	1.43897735	1.56608785	1.38174435	1.41318923	1.5484521	1.4526201	1.4599406	1.28108748	1.35379335	1.50669198	1.29456385	1.10007148	1.2303431
1035	0.33790762	0.31278499	0.33624387	0.34090237	0.33907224	0.21329275	0.33790762	0.30130512	0.31078849	0.33674299	0.31411599	0.32310024	0.30563087	0.35570974	0.30529812	0.33907224	0.32609499	0.31345049	0.32742599	0.30895837	0.33907224	0.31744349	0.32160287	0.33408099	0.32127012	0.29581475	0.30579725	0.33225087
1036	1.00606961	1.02553548	0.98843386	1.06895936	1.05498386	0.83803086	0.98843386	1.10373173	0.95233048	1.07761086	1.00573686	0.95865273	1.01954598	1.06296986	1.02204161	1.12286486	1.18542186	1.01971236	0.98394173	1.15680536	1.00673511	0.96863523	1.00756698	1.05431836	1.05631486	0.94367898	0.81190999	0.93868773
1037	2.03509897	2.13059822	2.02761209	2.10946859	1.89684134	1.47441523	1.96572059	2.23192059	1.89368022	2.28565971	2.12760347	2.13808509	2.09033547	2.19881196	2.09798872	2.39696459	2.45819059	1.97570309	2.09516034	2.28150034	2.14207809	1.96971359	2.04924084	2.11296247	2.15355796	1.73462572	1.68404772	1.89201647
1038	1.2795901	1.26195435	1.21370561	1.28325035	1.21819773	1.17194548	1.15796998	1.34181435	1.23001036	1.45428385	1.31269873	1.40187573	1.22219073	1.32068473	1.22019423	1.42283898	1.43648173	1.2769281	1.29656035	1.27942373	1.3867356	1.2889071	1.3281716	1.25945873	1.29872323	1.20056198	1.08343398	1.16096473
1039	0.56168199	0.57582387	0.55901999	0.39813537	0.51326687	0.25505287	0.55918637	0.62556999	0.56650687	0.62457174	0.59479062	0.56068374	0.58231249	0.59645437	0.54155062	0.60011462	0.65085899	0.52541224	0.55802174	0.61292549	0.54537724	0.55486062	0.55369599	0.63472061	0.60627049	0.47915999	0.52358212	0.53539474
1040	0.92304848	0.94700648	0.99941461	0.65185724	0.73471199	0.46019324	0.86747924	1.01255823	0.87380149	1.06130611	0.98909936	1.05564936	0.92022011	0.99275961	0.90740924	1.07910823	1.09025536	0.88078924	0.90607824	0.99109586	0.87829361	0.93369648	0.93020261	0.89127086	0.88078924	0.76532499	0.76965074	0.83154224
1041	0.75733899	0.75534249	0.70376624	0.73421286	0.70775924	0.72755786	0.74402899	0.72772424	0.69078899	0.71990461	0.70975574	0.71507974	0.65468561	0.69028986	0.66832836	0.77930049	0.75251411	0.72888886	0.76050011	0.76266299	0.65768036	0.72855611	0.69877499	0.67814449	0.68529861	0.68546499	0.67681349	0.76166474
1042	2.78112445	2.73320846	2.70875133	2.61325208	2.66016983	2.70791946	2.54853221	2.8646447	2.9238742	3.22717582	2.8712997	2.90341008	2.9218777	2.79959208	2.91672008	2.9578147	2.73304208	2.95997758	2.81639595	3.0762737	2.87745558	2.70925046	2.62822583	2.78262183	2.64819083	2.46418008	2.70858496	2.60493333
1043	0.67614799	0.66466811	0.67032486	0.63338961	0.67681349	0.61841586	0.64869611	0.66034236	0.61492199	0.70609549	0.71757536	0.70243524	0.73338099	0.66400261	0.61442287	0.62390624	0.67697986	0.67232136	0.65451924	0.63139311	0.71125311	0.63056124	0.64902886	0.59479062	0.66383624	0.62956299	0.58297799	0.56351212
1044	1.18808386	1.23949373	1.32800523	1.27143773	1.27443248	1.27942373	1.3667706	1.08543048	1.26478273	1.28674423	1.12536048	1.21736586	1.19773361	1.21470386	1.18176161	1.16562323	1.20006286	1.18375811	1.16196298	1.20505411	1.15314511	1.18442361	1.2403256	1.10106973	1.25929235	1.25263735	1.4266656	1.41368835
1045	0.34888837	0.36519312	0.35254862	0.34090237	0.33607749	0.33391462	0.34339799	0.42242612	0.37484287	0.39131399	0.40811787	0.37567474	0.41527199	0.38615637	0.41460649	0.37134899	0.43141037	0.37467649	0.36253112	0.38881837	0.38249612	0.35421237	0.34639274	0.36053462	0.30446625	0.32077099	0.33424737	0.36020187
1046	0.52740874	0.48831062	0.52225112	0.49113899	0.50062237	0.43723349	0.49380099	0.59196224	0.46851199	0.52557862	0.57748762	0.52258387	0.61791674	0.51759262	0.51592887	0.50644549	0.61625299	0.51127037	0.54521087	0.55635799	0.54537724	0.49496562	0.48132287	0.45004437	0.49030712	0.45952774	0.42891474	0.42841562
1047	0.13958862	0.135762	0.12611225	0.12960612	0.12927337	0.13476375	0.143748	0.16071825	0.13343275	0.1337655	0.12461487	0.11396687	0.111804	0.14341525	0.11596337	0.14690912	0.15023662	0.130438	0.13609475	0.11080575	0.12611225	0.11197037	0.13260087	0.11979	0.13077075	0.11746075	0.12128737	0.14291612
1048	0.063888	0.07004387	0.06937837	0.06838012	0.07403687	0.0831875	0.07769712	0.07619975	0.0712085	0.07703162	0.0685465	0.06688275	0.06904562	0.06555175	0.06571812	0.0791945	0.06887925	0.07104212	0.07287225	0.07403687	0.07220675	0.06239062	0.06887925	0.06272337	0.07769712	0.06971112	0.054571	0.07154125
1049	1.17311011	0.88761061	1.08559686	1.09125361	1.05648123	1.00773336	0.96347761	1.14881936	1.10306623	1.18725198	0.97096448	1.09657761	1.12219936	0.96996623	0.95748811	1.10672648	1.16379311	1.04433586	1.12369673	1.02187523	1.03518523	0.92887161	0.93852136	1.03169136	0.95665623	1.11903823	1.15214686	1.19207686
1050	0.19216312	0.185009	0.17053437	0.17918587	0.1736955	0.17918587	0.17402825	0.16487762	0.15822262	0.17219812	0.17718937	0.14541175	0.17519287	0.17718937	0.14790737	0.17352912	0.16454487	0.18534175	0.17452737	0.20148012	0.1404205	0.17402825	0.16620862	0.14058687	0.1763575	0.16088462	0.12894062	0.1577235
1051	14.85063226	14.17814452	14.66628876	14.72668289	15.01617538	13.9992914	14.18796064	14.55631489	14.33803089	13.44875653	13.42063916	13.89181315	13.8681879	14.05070127	13.7963139	13.26191741	13.38802966	14.47212914	14.0245804	13.02882604	13.46988616	14.0771549	14.63401201	14.23371377	14.89538713	14.75513301	14.32721652	14.52869664
1052	0.3001405	0.27035937	0.32426487	0.33674299	0.286165	0.29032437	0.295482	0.26503537	0.33291637	0.300806	0.30313525	0.32958887	0.35105124	0.33191812	0.28433487	0.32393212	0.33541199	0.34056962	0.2615415	0.34605999	0.302137	0.3067955	0.31012299	0.2854995	0.34073599	0.31494787	0.26187425	0.28100737
1053	1.19490523	1.12336398	1.10988761	1.13367923	1.07627986	1.17327648	1.12086836	1.19473886	1.21220823	1.33366198	1.35895098	1.3042136	1.2609561	1.40553598	1.37758498	1.28374948	1.4452996	1.26777748	1.28508048	1.27659535	1.2669456	1.20571961	1.14432723	1.15231323	1.28641148	1.14016786	0.95848636	1.06862661
1054	0.61209362	0.62839836	0.63289049	0.57016712	0.59212862	0.60477312	0.57049987	0.60793424	0.65318824	0.67980824	0.69361736	0.75401149	0.64570136	0.62490449	0.68280299	0.65834586	0.64969436	0.67248774	0.63172586	0.70626186	0.57432649	0.59994824	0.62290799	0.68879249	0.60211112	0.53722487	0.59113037	0.58730374
1055	0.93120086	0.86514999	0.87430061	0.91073674	0.81972961	0.89027261	0.87047399	0.86847749	0.98693648	1.03002761	0.99575436	0.96963348	0.99924823	1.05431836	0.94717286	0.94567548	1.09607848	0.98460723	0.99608711	0.98976486	0.99675261	0.91472974	0.86747924	0.83869636	0.96780336	0.90058786	0.89609574	0.87762811
1056	0.09034162	0.09616475	0.09500012	0.08568312	0.09965862	0.09167262	0.09416825	0.09333637	0.10165512	0.10464987	0.10664637	0.10697912	0.1018215	0.09350275	0.09732937	0.09683025	0.0964975	0.10431712	0.1111385	0.09333637	0.10997387	0.09683025	0.098494	0.10548175	0.09366912	0.08202287	0.08085825	0.0685465
1057	28.10522917	26.69387007	27.7862883	27.67897643	28.38607016	25.81557646	26.32069095	28.76473966	27.04708419	25.94851008	25.70893008	28.27842554	28.35795279	27.21911593	25.67232758	27.12511406	25.76366746	27.09017531	25.02363147	27.44438768	25.84069908	27.84451955	27.50178705	26.07512145	27.81473842	27.4981268	26.66874744	28.81232291
1058	0.147741	0.130438	0.137093	0.1284415	0.15589337	0.13210175	0.13493012	0.16687412	0.12428212	0.13326637	0.14524537	0.14541175	0.18051687	0.12960612	0.13093712	0.12677775	0.15256587	0.13226812	0.130438	0.16720687	0.15273225	0.12960612	0.12744325	0.14025412	0.13792487	0.12744325	0.12162012	0.1058145
1059	5.25428879	5.42582141	5.35977054	5.34779154	5.50401766	5.57389516	5.65858003	6.33472802	5.37457791	4.94150379	5.35993691	5.49819454	5.31751129	5.47739766	4.8656368	4.98093467	5.18690692	5.30736241	5.34529591	5.38672329	5.05413967	5.32865841	5.27209091	5.29488429	5.40785291	5.78602328	5.35394741	5.28090879
1060	3.16461882	2.9351877	3.03917208	3.31302532	3.14665032	3.01587958	3.02220183	3.08975007	3.17693057	2.86098445	2.83037145	3.15729832	3.1814227	3.11304257	2.85782333	2.92703533	2.90906683	3.1654507	3.13932982	2.9870967	3.07444358	2.9704592	3.11453995	3.00872545	2.99391808	3.42782407	3.3105297	3.26577482
1061	0.23608612	0.23675162	0.23176037	0.228932	0.247566	0.24773237	0.2309285	0.23475512	0.23575337	0.19282862	0.21978137	0.228932	0.22277612	0.24007912	0.21612112	0.20447487	0.20996525	0.2202805	0.207636	0.21928225	0.22876562	0.240911	0.231594	0.24340662	0.23858175	0.238249	0.22410712	0.24107737
1062	3.40353332	3.35877845	3.50236007	3.66940057	3.51467182	3.45278032	3.48871732	3.41767519	3.70417294	3.41418132	3.43165069	3.73611694	3.77654606	3.76489981	3.42050357	3.47757019	3.51483819	3.65442682	3.51300807	3.47424269	3.59536369	3.42915507	3.71748294	3.18558207	3.57423407	3.60967194	3.52382244	3.52947919
1063	1.29988785	1.29522935	1.25796135	1.26711198	1.2862451	1.28142023	1.26045698	1.35029948	1.2303431	1.10023786	1.21636761	1.24215573	1.16712061	1.2988896	1.20505411	1.16994898	1.2589596	1.21037811	1.18458998	1.2649491	1.22967761	1.22052698	1.27110498	1.15214686	1.3028826	1.22285623	1.17976511	1.23250598
1064	12.61288854	12.91336179	12.89056842	12.59375542	13.17440416	12.90953517	13.01834441	12.3689828	12.83050704	12.59159255	12.29877255	13.5906744	12.56280967	13.30700503	13.36556903	12.69557692	13.10968429	13.79148903	13.13397504	13.32164603	13.6778549	13.11217991	13.08922016	13.47387916	13.23829216	13.69998278	13.55922953	12.77011292
1065	5.99632128	5.30686329	5.84724928	6.3169259	5.8923369	5.61665353	5.53695991	5.93459615	6.33323065	6.10962265	5.31068991	6.46167214	6.01362428	5.78252941	5.67754678	5.93243328	6.21826552	5.93858915	6.24222352	5.91879053	6.1525474	5.42399129	5.79534028	5.74526141	5.89017403	6.63769689	6.60425552	6.23856327
1066	2.27368071	2.29963521	2.32592246	2.49778783	2.36452146	2.45968796	2.34072984	2.24889084	2.63571271	2.32359321	2.49479308	2.56616796	2.47815558	2.60260408	2.45136921	2.58047621	2.66383008	2.74918046	2.63887383	2.44571246	2.50327821	2.23391709	2.32708709	2.38681571	2.44504696	2.32242859	2.29364571	2.30911859
1067	0.31261862	0.27917725	0.31528062	0.31494787	0.303468	0.29864312	0.29764487	0.26836287	0.31494787	0.27668162	0.3001405	0.286165	0.32626137	0.33657662	0.2655345	0.26370437	0.27318775	0.32343299	0.29198812	0.296813	0.2921545	0.28383575	0.30163787	0.2974785	0.33441374	0.32359937	0.32692687	0.31844174
1068	0.88494861	0.86631461	0.84618324	0.90374899	0.88411674	0.88311849	0.86498361	0.80691874	0.88761061	0.84052649	0.90441449	0.89210274	0.90141974	0.94134973	0.86448449	0.93602573	0.90674374	0.92521136	0.99292598	0.81789949	0.86298711	0.85716399	0.83902911	0.93120086	0.95216411	0.96264573	0.90574549	0.89276824
1069	2.30079984	2.39979296	2.38748121	2.46384733	2.40678071	2.35104509	2.33607134	2.23791009	2.30079984	2.12627247	2.33590496	2.36834809	2.41227109	2.36951271	2.17967884	2.23142146	2.39463534	2.41127284	2.27933746	2.30312909	2.39064234	2.27135146	2.40278771	2.32292771	2.53854971	2.42741121	2.37117646	2.35686821
1070	0.48664687	0.51908999	0.46501812	0.52391487	0.55303049	0.47317049	0.52923887	0.50428262	0.47283774	0.43340687	0.46085874	0.46285524	0.53273274	0.54121787	0.51260137	0.50128787	0.51127037	0.48814424	0.46501812	0.45836312	0.52607774	0.52624412	0.52507949	0.52424762	0.54321437	0.58547362	0.53073624	0.53506199
1071	0.16753962	0.16787237	0.169037	0.16554312	0.15605975	0.16088462	0.1803505	0.18384437	0.15389687	0.15589337	0.15739075	0.17086712	0.16354662	0.175692	0.15223312	0.16338025	0.17352912	0.15872175	0.166375	0.1830125	0.16404575	0.17885312	0.181016	0.182347	0.18600725	0.1617165	0.1563925	0.1577235
1072	5.50168841	5.48089154	5.54943803	5.53662716	5.66773066	5.66872891	5.67638216	5.32283529	5.50252029	5.25395604	5.36942029	5.52098791	5.53113679	5.58554141	5.28822929	5.26427129	5.36975304	5.65758178	5.40202979	5.38705604	5.42931529	5.51217004	5.40901754	5.51915779	5.64676741	5.67005991	5.53679353	5.53030491
1073	1.84509872	1.94825122	1.80417047	1.89417934	1.88353134	1.93410934	1.99550172	1.82247172	1.8346171	1.73529122	1.87121959	1.96705159	1.86206897	1.8026731	1.81099185	1.76424047	1.78553647	1.85391659	1.86855759	1.65243647	1.6875416	1.93560672	1.80100935	1.83212147	1.93943334	1.96655247	1.93643859	1.87571172
1074	0.23958	0.23525425	0.24540312	0.24906337	0.22793375	0.23791625	0.24606862	0.20929975	0.24274112	0.25072712	0.25338912	0.32709324	0.25289	0.26586725	0.250228	0.24773237	0.2708585	0.25239087	0.259545	0.26403712	0.25538562	0.23076212	0.23275862	0.25438737	0.23059575	0.23042937	0.23641887	0.21944862
1075	0.29964137	0.32193562	0.30113875	0.32176924	0.32310024	0.32243474	0.34073599	0.35055212	0.35570974	0.31494787	0.34156787	0.34572724	0.35720712	0.33957137	0.32792512	0.32027187	0.32060462	0.34705824	0.33774124	0.28433487	0.30296887	0.31810899	0.30646275	0.31345049	0.33873949	0.31295137	0.30230337	0.31877449
1076	0.53273274	0.51842449	0.40462399	0.52624412	0.51809174	0.46784649	0.53223362	0.50661187	0.51459787	0.49529837	0.45403737	0.57748762	0.53156812	0.56184837	0.49479924	0.48182199	0.52025462	0.51975549	0.42591999	0.54105149	0.51043849	0.54803924	0.53173449	0.51110399	0.53622662	0.52042099	0.48681324	0.49479924
1077	1.11687536	1.04965986	1.11704173	1.10689286	1.12336398	1.11304873	1.13916961	1.06629736	1.10140248	1.02104336	1.05015898	1.03901186	1.11155136	1.14948486	1.07295236	1.05232186	1.06130611	1.06746198	1.06330261	1.12868798	1.05681398	1.05764586	1.09857411	1.06895936	1.13151636	1.09707673	1.06663011	1.07494886
1078	1.42583373	1.4579441	1.39588623	1.39488798	1.40836435	1.46509823	1.45894235	1.4752471	1.3514641	1.3361576	1.35961648	1.46543098	1.36360948	1.43232235	1.3634431	1.37375835	1.40353948	1.42300535	1.37159548	1.45145548	1.33050085	1.42150798	1.43847823	1.43648173	1.47491435	1.48872348	1.55211235	1.47408248
1079	0.08767962	0.07603337	0.07204037	0.06971112	0.07703162	0.08235562	0.08302112	0.08618225	0.07802987	0.07902812	0.07736437	0.08634862	0.08002637	0.08169012	0.07619975	0.086515	0.07736437	0.08535037	0.08085825	0.0871805	0.08352025	0.07902812	0.077198	0.07170762	0.0765325	0.08102462	0.0831875	0.08285475
1080	1.3834081	1.35828548	1.35662173	1.3474711	1.37259373	1.36044835	1.3760876	1.2935656	1.26910848	1.22368811	1.28474773	1.42699835	1.38307535	1.41169185	1.26727835	1.29306648	1.30205073	1.2968931	1.30837298	1.34331173	1.36028198	1.40104385	1.39322423	1.41618398	1.42184073	1.42500185	1.4353171	1.38973035
1081	6.03425478	5.87935965	5.37657441	5.91213553	6.03907965	5.63245916	5.90714428	5.81630353	5.45560254	5.24447266	5.25794904	5.75956966	5.90681153	6.00863303	5.33514704	5.39171454	5.48754654	5.57189866	5.14847429	5.81330878	5.86738065	5.69667991	5.9888344	6.06553328	6.28331815	6.00696928	6.0886594	6.15005178
1082	3.13250845	2.8839442	3.29156295	3.2839097	3.00323508	3.01870795	3.0676222	3.30620395	3.08742082	3.0210372	3.11919845	3.0383402	3.2659412	3.05181658	3.01122108	3.07377808	3.14448745	3.07078333	3.08725445	3.06246458	2.9697937	2.9252052	3.01355033	3.3005472	3.16644895	3.11370807	3.10256095	2.96962733
1083	0.82538636	0.83137586	0.83753174	0.82688374	0.83653349	0.83387149	0.82139336	0.79577161	0.78129699	0.72090286	0.69711124	0.75201499	0.76233024	0.79394149	0.76299574	0.77048261	0.80775061	0.77397649	0.79294324	0.80874886	0.76515861	0.80625324	0.80558774	0.76299574	0.85849499	0.82089424	0.78562274	0.83852999
1084	0.0951665	0.08352025	0.08834512	0.09034162	0.09599837	0.103818	0.09200537	0.06937837	0.09000887	0.08435212	0.09150625	0.0858495	0.09100712	0.09732937	0.0885115	0.08751325	0.09000887	0.08568312	0.09333637	0.08867787	0.08235562	0.09549925	0.09100712	0.08767962	0.09599837	0.10132237	0.08551675	0.09400187
1085	2.08301497	2.04524784	1.96621972	1.99001134	2.04408322	1.99866284	1.99566809	2.05456484	2.10530922	1.90083434	1.96255947	2.11412709	2.07868922	2.13276109	1.98269084	1.94309359	1.98368909	1.94375909	1.96305859	2.04225309	2.01130734	2.00797984	2.04358409	1.94093072	2.11595722	2.04641247	2.03925834	2.08118484
1086	0.19316137	0.19715437	0.2083015	0.2056395	0.20247837	0.214291	0.20064825	0.189002	0.18151512	0.18018412	0.1923295	0.19665525	0.20796875	0.19965	0.18783737	0.1963225	0.18750462	0.17519287	0.19183037	0.191664	0.19066575	0.20979887	0.2083015	0.19798625	0.19798625	0.19998275	0.17669025	0.21612112
1087	0.24473762	0.2322595	0.22926475	0.2362525	0.24507037	0.2202805	0.23392325	0.2522245	0.24207562	0.22443987	0.23591975	0.23342412	0.24922975	0.23059575	0.21811762	0.2322595	0.24207562	0.20913337	0.21179537	0.22310887	0.2016465	0.219615	0.222277	0.2309285	0.23591975	0.26337162	0.22976387	0.2402455
1088	0.29315275	0.28333662	0.28666412	0.28500037	0.30180425	0.27451875	0.27368687	0.29714575	0.27668162	0.27035937	0.27435237	0.30230337	0.286165	0.29697937	0.29897587	0.28633137	0.2775135	0.29997412	0.30030687	0.25588475	0.276848	0.29398462	0.29781125	0.2921545	0.28982525	0.33341549	0.28100737	0.280841
1089	3.89766706	4.04341156	4.02311381	4.18948881	3.84492619	4.14905968	4.09149393	4.19398093	3.81913806	3.61616057	3.80499619	3.81697519	3.95340269	4.30478668	3.93110844	4.04973381	4.08616993	4.11495281	4.07435731	3.97686156	3.87953219	3.48089769	4.09066206	3.87703656	4.23357818	4.29314043	4.11428731	3.75125706
1090	0.18151512	0.18550812	0.1856745	0.19332775	0.185009	0.19316137	0.19715437	0.187671	0.1936605	0.15855537	0.18018412	0.17303	0.19415962	0.2056395	0.19282862	0.19948362	0.18783737	0.19748712	0.1856745	0.17219812	0.17652387	0.18484262	0.19332775	0.187671	0.19216312	0.181016	0.18384437	0.198319
1091	23.28434725	23.67998699	23.75701861	21.81758527	22.19409189	22.86574775	22.93678988	24.13751823	25.90259058	24.16580198	23.79395386	23.62724612	25.07104834	25.02512884	25.44106634	22.82265663	23.49364699	24.49522448	23.72640561	25.02978734	25.82838733	23.43841049	23.43175549	23.72540736	22.99668488	22.38958251	23.54988174	23.29882187
1092	0.262207	0.26370437	0.2854995	0.2775135	0.28566587	0.2775135	0.28183925	0.27202312	0.278179	0.23442237	0.23475512	0.242242	0.24939612	0.267531	0.26004412	0.251559	0.25788125	0.26919475	0.26536812	0.27102487	0.27069212	0.27501787	0.2708585	0.26536812	0.28732962	0.26170787	0.24190925	0.27069212
1093	0.26919475	0.2508935	0.2854995	0.28716325	0.27052575	0.26669912	0.25505287	0.29964137	0.25405462	0.22627	0.24573587	0.23874812	0.23908087	0.258214	0.22577087	0.24590225	0.235587	0.24407212	0.2469005	0.2748515	0.26037687	0.2588795	0.26037687	0.2389145	0.31810899	0.258214	0.2229425	0.24240837
1094	0.05823125	0.05906312	0.06089325	0.05873037	0.05956225	0.05623475	0.06222425	0.06438712	0.05873037	0.05240812	0.05290725	0.04691775	0.05041162	0.059895	0.05606837	0.06105962	0.05823125	0.05573562	0.0578985	0.05690025	0.04974612	0.06006137	0.05806487	0.04974612	0.06338887	0.06022775	0.05440462	0.05706662
1095	0.52374849	0.53206724	0.52524587	0.53389737	0.55852087	0.53739124	0.51093762	0.55635799	0.51093762	0.48248749	0.48015824	0.49912499	0.50594637	0.53556112	0.48764512	0.51642799	0.52008824	0.52391487	0.50677824	0.51193587	0.52890612	0.52690962	0.52557862	0.52008824	0.55685712	0.53406374	0.51359962	0.50112149
1096	0.10148875	0.0858495	0.09732937	0.10814375	0.09333637	0.10298612	0.10232062	0.09999137	0.10032412	0.09466737	0.095832	0.09949225	0.11280225	0.0925045	0.09965862	0.09500012	0.0925045	0.1044835	0.09882675	0.10015775	0.10065687	0.09300362	0.09666387	0.09300362	0.11197037	0.09067437	0.0925045	0.098494
1097	0.2122945	0.21795125	0.2322595	0.22244337	0.23126125	0.22943112	0.22726825	0.25472012	0.22127875	0.20929975	0.223608	0.25338912	0.244904	0.23941362	0.2136255	0.20680412	0.21745212	0.21795125	0.22144512	0.21662025	0.24507037	0.21279362	0.22394075	0.23774987	0.22943112	0.23325775	0.23325775	0.24324025
1098	0.29182175	0.29864312	0.26570087	0.283503	0.29098987	0.27734712	0.28200562	0.29448375	0.29115625	0.26387075	0.27518425	0.31478149	0.30629637	0.300806	0.26852925	0.26570087	0.27934362	0.27584975	0.28300387	0.23342412	0.30613	0.26852925	0.29065712	0.31910724	0.28516675	0.30812649	0.31311774	0.31844174
1099	2.62190358	2.52590521	2.60726258	2.54570383	2.51326071	2.58929408	2.50361096	2.56084396	2.44504696	2.25687684	2.34555471	2.59029233	2.47782283	2.58363733	2.40644796	2.53988071	2.44903996	2.66998596	2.51725371	2.71490721	2.58862858	2.46434646	2.67763921	2.39779646	2.75833108	2.75417171	2.63604546	2.54404008
1100	1.02021148	1.02836386	1.08958986	1.08742698	1.01771586	1.04383673	1.01971236	1.06696286	1.03585073	0.92704148	0.98776836	0.95682261	1.05598211	1.06396811	1.04300486	1.00606961	1.01871411	1.04250573	1.04416948	0.99309236	1.04433586	0.98793473	1.04666511	1.08692786	1.09125361	1.08276848	1.03801361	1.03634986
1101	0.12627862	0.12694412	0.11479875	0.12927337	0.11945725	0.12461487	0.130438	0.11330137	0.11546425	0.10631362	0.12028912	0.12528037	0.1151315	0.1138005	0.11862537	0.1124695	0.11812625	0.1331	0.12544675	0.1098075	0.121121	0.12078825	0.11696162	0.125114	0.13010525	0.12162012	0.12228562	0.12411575
1102	0.04874787	0.04691775	0.0578985	0.05224175	0.06105962	0.05473737	0.0539055	0.04209287	0.04026275	0.03909812	0.045254	0.04908062	0.04708412	0.055902	0.04542037	0.04841512	0.04575312	0.06006137	0.06089325	0.05673387	0.050578	0.04508762	0.06006137	0.04359025	0.05889675	0.05673387	0.04608587	0.04508762
1103	0.13060437	0.1257795	0.13393187	0.13609475	0.1484065	0.15323137	0.12328387	0.13210175	0.11213675	0.09866037	0.11995637	0.14225062	0.127776	0.12195287	0.10265337	0.11413325	0.11829262	0.13077075	0.1244485	0.11829262	0.115797	0.14391437	0.14408075	0.12993887	0.1484065	0.14807375	0.12744325	0.12461487
1104	3.24214957	3.2406522	3.27825295	3.35428632	3.3524562	3.35212345	3.33997807	3.21968895	3.06978508	2.91688645	3.0596362	3.31302532	3.34962782	3.26644032	3.1182002	3.2393212	3.15380445	3.34397107	3.17510045	3.35811295	3.27242982	3.17376945	3.31219345	3.17426857	3.51567007	3.49553869	3.44213232	3.33465407
1105	0.55436149	0.51709349	0.56384487	0.52042099	0.54437899	0.54171699	0.53988687	0.50594637	0.48148924	0.46984299	0.51459787	0.60177837	0.51176949	0.51742624	0.47649799	0.49047349	0.49080624	0.49762762	0.51958912	0.53406374	0.46551724	0.50977299	0.51692712	0.45237362	0.54720737	0.55269774	0.53056987	0.53855587
1106	0.33840674	0.33873949	0.33857312	0.33990412	0.35055212	0.35471149	0.35737349	0.38831924	0.32359937	0.31444874	0.32875699	0.33141899	0.33507924	0.33374824	0.35687437	0.34522812	0.33624387	0.35670799	0.34439624	0.37800399	0.35837174	0.34123512	0.32127012	0.34306524	0.35321412	0.35088487	0.34838924	0.35521062
1107	0.92105199	0.92754061	0.96247936	0.94850386	0.92304848	0.95000123	0.94467723	0.91739174	0.91439699	0.85250549	0.92055286	0.97944961	0.97162998	0.93569298	0.86148974	0.84834611	0.88627961	0.90158611	0.88095561	0.91572799	0.95083311	0.94085061	0.94051786	0.91073674	0.95316236	1.01538661	0.95599073	0.93802223
1108	0.01630475	0.017303	0.01613837	0.02096325	0.01780212	0.02279337	0.01979862	0.015972	0.0166375	0.017303	0.01713662	0.01913312	0.02079687	0.02013137	0.01630475	0.01813487	0.01963225	0.01713662	0.01713662	0.01380912	0.015972	0.01580562	0.015972	0.01447462	0.01896675	0.01780212	0.02079687	0.0179685
1109	0.37850312	0.32060462	0.37783762	0.36918612	0.37933499	0.39796899	0.30895837	0.34672549	0.37933499	0.37401099	0.30563087	0.40362574	0.41394099	0.36469399	0.40129649	0.34539449	0.37567474	0.36003549	0.37234724	0.47849449	0.40978162	0.33474649	0.38382712	0.39148037	0.35371324	0.34090237	0.32093737	0.34855562
1110	0.62789924	0.68130561	0.66350349	0.73870499	0.65285549	0.73321461	0.69328461	0.75833724	0.66317074	0.61325824	0.65385374	0.58663824	0.59645437	0.62490449	0.64886249	0.63106036	0.65435286	0.67664711	0.69261911	0.61924774	0.63704986	0.66932661	0.67548249	0.66965936	0.68479949	0.69461561	0.67365236	0.68912524
